-- Id_M_REF[uA]= 10.0003 | Vth_M_REF[V]= 1.03657 | Vgs_M_REF[V]= 1.68498 --

dac_bit= 0 | I_dac[uA]= 0.00393484
dac_bit= 1 | I_dac[uA]= 11.4919
dac_bit= 2 | I_dac[uA]= 22.9826
dac_bit= 3 | I_dac[uA]= 34.4762
dac_bit= 4 | I_dac[uA]= 45.9725
dac_bit= 5 | I_dac[uA]= 57.4721
dac_bit= 6 | I_dac[uA]= 68.9739
dac_bit= 7 | I_dac[uA]= 80.4789
dac_bit= 8 | I_dac[uA]= 91.9869
dac_bit= 9 | I_dac[uA]= 103.498
dac_bit= 10 | I_dac[uA]= 115.011
dac_bit= 11 | I_dac[uA]= 126.528
dac_bit= 12 | I_dac[uA]= 138.048
dac_bit= 13 | I_dac[uA]= 149.57
dac_bit= 14 | I_dac[uA]= 161.096
dac_bit= 15 | I_dac[uA]= 172.625
dac_bit= 16 | I_dac[uA]= 184.157
dac_bit= 17 | I_dac[uA]= 195.692
dac_bit= 18 | I_dac[uA]= 207.232
dac_bit= 19 | I_dac[uA]= 218.772
dac_bit= 20 | I_dac[uA]= 230.318
dac_bit= 21 | I_dac[uA]= 241.866
dac_bit= 22 | I_dac[uA]= 253.418
dac_bit= 23 | I_dac[uA]= 264.975
dac_bit= 24 | I_dac[uA]= 276.536
dac_bit= 25 | I_dac[uA]= 288.101
dac_bit= 26 | I_dac[uA]= 299.672
dac_bit= 27 | I_dac[uA]= 311.249
dac_bit= 28 | I_dac[uA]= 322.835
dac_bit= 29 | I_dac[uA]= 334.434
dac_bit= 30 | I_dac[uA]= 346.059
dac_bit= 31 | I_dac[uA]= 358.978
