-- Id_M_REF[uA]= 10.0005 | Vth_M_REF[V]= 1.03657 | Vgs_M_REF[V]= 1.68498 --

dac_bit= 0 | I_dac[uA]= 1.55337
dac_bit= 1 | I_dac[uA]= 11.4878
dac_bit= 2 | I_dac[uA]= 27.1929
dac_bit= 3 | I_dac[uA]= 40.0102
dac_bit= 4 | I_dac[uA]= 50.7128
dac_bit= 5 | I_dac[uA]= 65.5703
dac_bit= 6 | I_dac[uA]= 76.8666
dac_bit= 7 | I_dac[uA]= 91.1607
dac_bit= 8 | I_dac[uA]= 103.37
dac_bit= 9 | I_dac[uA]= 116.588
dac_bit= 10 | I_dac[uA]= 129.623
dac_bit= 11 | I_dac[uA]= 142.957
dac_bit= 12 | I_dac[uA]= 155.849
dac_bit= 13 | I_dac[uA]= 169.476
dac_bit= 14 | I_dac[uA]= 182.182
dac_bit= 15 | I_dac[uA]= 195.584
dac_bit= 16 | I_dac[uA]= 207.158
dac_bit= 17 | I_dac[uA]= 222.811
dac_bit= 18 | I_dac[uA]= 232.731
dac_bit= 19 | I_dac[uA]= 249.065
dac_bit= 20 | I_dac[uA]= 258.139
dac_bit= 21 | I_dac[uA]= 275.431
dac_bit= 22 | I_dac[uA]= 283.766
dac_bit= 23 | I_dac[uA]= 301.753
dac_bit= 24 | I_dac[uA]= 314.662
dac_bit= 25 | I_dac[uA]= 328.389
dac_bit= 26 | I_dac[uA]= 334.592
dac_bit= 27 | I_dac[uA]= 354.769
dac_bit= 28 | I_dac[uA]= 368.096
dac_bit= 29 | I_dac[uA]= 381.376
dac_bit= 30 | I_dac[uA]= 394.694
dac_bit= 31 | I_dac[uA]= 409.477
