-- Id_M_REF[uA]= 10.0004 | Vth_M_REF[V]= 1.03657 | Vgs_M_REF[V]= 1.68498 --

dac_bit= 0 | I_dac[uA]= -1.26328
dac_bit= 1 | I_dac[uA]= 11.4389
dac_bit= 2 | I_dac[uA]= 23.9994
dac_bit= 3 | I_dac[uA]= 36.6021
dac_bit= 4 | I_dac[uA]= 48.8627
dac_bit= 5 | I_dac[uA]= 63.9379
dac_bit= 6 | I_dac[uA]= 73.9551
dac_bit= 7 | I_dac[uA]= 86.4831
dac_bit= 8 | I_dac[uA]= 102.561
dac_bit= 9 | I_dac[uA]= 114.931
dac_bit= 10 | I_dac[uA]= 123.639
dac_bit= 11 | I_dac[uA]= 136.23
dac_bit= 12 | I_dac[uA]= 148.629
dac_bit= 13 | I_dac[uA]= 161.242
dac_bit= 14 | I_dac[uA]= 173.566
dac_bit= 15 | I_dac[uA]= 186.107
dac_bit= 16 | I_dac[uA]= 205.055
dac_bit= 17 | I_dac[uA]= 209.622
dac_bit= 18 | I_dac[uA]= 222.074
dac_bit= 19 | I_dac[uA]= 234.676
dac_bit= 20 | I_dac[uA]= 247.021
dac_bit= 21 | I_dac[uA]= 259.662
dac_bit= 22 | I_dac[uA]= 272.119
dac_bit= 23 | I_dac[uA]= 284.689
dac_bit= 24 | I_dac[uA]= 296.638
dac_bit= 25 | I_dac[uA]= 309.225
dac_bit= 26 | I_dac[uA]= 332.174
dac_bit= 27 | I_dac[uA]= 344.81
dac_bit= 28 | I_dac[uA]= 358.085
dac_bit= 29 | I_dac[uA]= 370.726
dac_bit= 30 | I_dac[uA]= 383.803
dac_bit= 31 | I_dac[uA]= 385.19
